axe,Mois,Année,Service,gare de départ,gare d'arrivée,Durée moyenne prévue du trajet (min),Nbre de circulations programmées sur la relation considérée dans le mois ,Nbre de circulations assurées sur la relation considérée dans le mois,Nbre de trains annulés au cours du mois,% mensuel de trains annulés,Commentaire trains annulés,Nbre total de trains en retard au départ pour le mois,% mensuel de trains en retard au départ,Retard moyen mensuel des trains au départ (min),% moyen de retard au départ des trains sur les 6 derniers mois,Retard moyen des trains au départ sur les 6 derniers mois (min),% moyen de retard au départ des trains sur les 12 derniers mois,Retard moyen des trains au départ sur les 12 derniers mois (min),Commentaire trais en retard au départ,Nbre total de trains en retard à l'arrivée,% mensuel de trains en retard à l'arrivée,Retard moyen mensuel des trains à l'arrivée (min),% moyen de trains en retard à l'arrivée sur les 6 derniers mois,Retard moyen des trains à l'arrivée sur les 6 derniers mois (min),% moyen de trains en retard à l'arrivée sur les 12 derniers mois,Retard moyen des trains à l'arrivée sur les 12 derniers mois (min),Commentaire trains en retard à l'arrivée,Retard moyen mensuel des trains au départ p/r à l'ensemble des trains (min),Retard moyen mensuel des trains à l'arrivée p/r à l'ensemble des trains (min),"% trains en retard pour causes externes (météo, obstacles, colis suspects, malveillance, mouvements sociaux, etc.)","% trains en retard à cause infrastructure ferroviaire (maintenance, travaux)","% trains en retard à cause gestion trafic (circulation sur ligne ferroviaire, interactions réseaux)",% trains en retard à cause matériel roulant,% trains en retard à cause gestion en gare et réutilisation de matériel,"% trains en retard à cause prise en compte voyageurs (affluence, gestions PSH, correspondances)",Nombre trains en retard > 15min,Retard moyen trains en retard > 15min,Nombre trains en retard > 30min,Nombre trains en retard > 60min
,9,2018,TGV,AIX EN PROVENCE TGV,PARIS-LYON,184,389,388,1,,,188,,7,,,,,,32,,48,,,,,"Accident de personne à chevry, restitution tardive tx Heyrieux, déraillement bourreuse à Vénissieux, incendie sous station de manduel",3,5,0.21,0.39,0.11,0.25,0.04,0,32,5,18,10
,10,2018,TGV,AIX EN PROVENCE TGV,PARIS-LYON,183,397,397,0,,,163,,8,,,,,,49,,53,,,,,"2 accidents de personne, 2 LTV impactantes Lapeyrouse et Venissieux, 3 incidents marériel important sur LN1, 3 dérangements (aiguillage et caténaire) sur LN1, une alerte vent violent à lapalud",3,9,0.16,0.39,0.29,0.1,0.04,0.02,49,9,26,12
,11,2018,TGV,AIX EN PROVENCE TGV,PARIS-LYON,183,391,391,0,,,164,,5,,,,,,40,,51,,,,,,2,7,0.33,0.33,0.05,0.23,0.03,0.03,40,7,24,10
,12,2018,TGV,AIX EN PROVENCE TGV,PARIS-LYON,187,385,382,3,,,193,,7,,,,,,33,,40,,,,,Heurts d'animaux et Manifestations,4,5,0.30000000000000004,0.06,0.21,0.33,0.06,0.04,33,5,17,2
,1,2019,TGV,AIX EN PROVENCE TGV,PARIS-LYON,189,393,389,4,,,184,,10,,,,,,57,,44,,,,,Neiges et Inondation tunnel Marseille,5,7,0.49,0.30000000000000004,0.02,0.12,0.04,0.03,57,7,30,11
,2,2019,TGV,AIX EN PROVENCE TGV,PARIS-LYON,188,361,353,8,,,179,,13,,,,,,44,,77,,,,,Accidents de personne,7,10,0.16,0.5,0.09,0.16,0.07,0.02,44,10,29,18
,3,2019,TGV,AIX EN PROVENCE TGV,PARIS-LYON,188,392,388,4,,,185,,8,,,,,,29,,37,,,,,,4,4,0.24,0.42,0.17,0.14,0,0.03,29,4,13,3
Sud-Est,4,2019,TGV,AIX EN PROVENCE TGV,PARIS-LYON,184,373,370,3,,,247,,7,,,,,,24,,44,,,,,,4,3,0.26,0.32,0.11,0.21,0.05,0.05,24,3,11,6
Sud-Est,5,2019,TGV,AIX EN PROVENCE TGV,PARIS-LYON,185,432,396,36,,,358,,4,,,,,,32,,63,,,,,Heurt de personnes à Vianges. Heurt animal Cuy. heurt chevreuil Lacour d'arcenay. dérangement Yerres. disjonction cluny. Fort impact sur LN1 tronçon central,4,5,0.5,0.22,0.22,0.03,0,0.03,32,63,21,12
Sud-Est,6,2019,TGV,AIX EN PROVENCE TGV,PARIS-LYON,185,410,388,22,,,351,,4,,,,,,37,,49,,,,,Heurt d'une personne à Paris Bercy. limitation vitesse 6909 sur LN1. dérangement vers Montanay accès LN1. heurt de personne à Maisons Alfort. Dérangement d'installation vers Macon,4,5,0.23,0.23,0.2,0.26,0.05,0.03,37,49,22,12
